States and selected areas:  Employment status of the civilian noninstitutional population,;;;;;;;;;;
January 1976 to date, seasonally adjusted;;;;;;;;;;
;;;;;;;;;;
FIPS Code;State and area;Period;;Civilian non-institutional population;Civilian labor force;;;;;
35;New Mexico;1976;02;795 000   ;474 831   ;59,7   ;432 640   ;54,4   ;42 191   ;8,9   
36;New York;1976;02;13 202 000   ;7 684 752   ;58,2   ;6 895 390   ;52,2   ;789 362   ;10,3   
51000;New York city;1976;02;5 692 000   ;3 113 272   ;54,7   ;2 768 463   ;48,6   ;344 809   ;11,1   
37;North Carolina;1976;02;3 905 000   ;2 595 355   ;66,5   ;2 427 272   ;62,2   ;168 083   ;6,5   
38;North Dakota;1976;02;443 000   ;275 468   ;62,2   ;266 304   ;60,1   ;9 164   ;3,3   
39;Ohio;1976;02;7 706 000   ;4 756 607   ;61,7   ;4 371 539   ;56,7   ;385 068   ;8,1   
40;Oklahoma;1976;02;2 003 000   ;1 180 479   ;58,9   ;1 110 306   ;55,4   ;70 173   ;5,9   
41;Oregon;1976;02;1 720 000   ;1 073 446   ;62,4   ;969 351   ;56,4   ;104 095   ;9,7   
42;Pennsylvania;1976;02;8 780 000   ;5 104 850   ;58,1   ;4 691 940   ;53,4   ;412 910   ;8,1   
44;Rhode Island;1976;02;692 000   ;434 907   ;62,8   ;399 553   ;57,7   ;35 354   ;8,1   
45;South Carolina;1976;02;1 988 000   ;1 292 440   ;65,0   ;1 194 788   ;60,1   ;97 652   ;7,6   
46;South Dakota;1976;02;478 000   ;308 727   ;64,6   ;298 906   ;62,5   ;9 821   ;3,2   
47;Tennessee;1976;02;3 084 000   ;1 818 088   ;59,0   ;1 708 651   ;55,4   ;109 437   ;6,0   
48;Texas;1976;02;8 844 000   ;5 624 823   ;63,6   ;5 295 497   ;59,9   ;329 326   ;5,9   
49;Utah;1976;02;826 000   ;519 124   ;62,8   ;488 892   ;59,2   ;30 232   ;5,8   
50;Vermont;1976;02;340 000   ;213 554   ;62,8   ;194 960   ;57,3   ;18 594   ;8,7   
51;Virginia;1976;02;3 543 000   ;2 327 900   ;65,7   ;2 190 461   ;61,8   ;137 439   ;5,9   
53;Washington;1976;02;2 604 000   ;1 583 350   ;60,8   ;1 445 338   ;55,5   ;138 012   ;8,7   
54;West Virginia;1976;02;1 355 000   ;702 802   ;51,9   ;647 556   ;47,8   ;55 246   ;7,9   
55;Wisconsin;1976;02;3 248 000   ;2 124 456   ;65,4   ;2 002 200   ;61,6   ;122 256   ;5,8   
56;Wyoming;1976;02;271 000   ;175 705   ;64,8   ;168 416   ;62,1   ;7 289   ;4,1   
01;Alabama;1976;03;2 615 000   ;1 490 600   ;57,0   ;1 392 137   ;53,2   ;98 463   ;6,6   
02;Alaska;1976;03;236 000   ;159 067   ;67,4   ;147 858   ;62,7   ;11 209   ;7,0   
04;Arizona;1976;03;1 631 000   ;971 967   ;59,6   ;872 637   ;53,5   ;99 330   ;10,2   
05;Arkansas;1976;03;1 539 000   ;881 865   ;57,3   ;816 687   ;53,1   ;65 178   ;7,4   
06;California;1976;03;15 694 000   ;9 775 283   ;62,3   ;8 892 402   ;56,7   ;882 881   ;9,0   
037;Los Angeles County;1976;03;5 292 000   ;3 374 522   ;63,8   ;3 079 158   ;58,2   ;295 364   ;8,8   
08;Colorado;1976;03;1 841 000   ;1 231 539   ;66,9   ;1 164 628   ;63,3   ;66 911   ;5,4   
09;Connecticut;1976;03;2 253 000   ;1 442 821   ;64,0   ;1 301 890   ;57,8   ;140 931   ;9,8   
10;Delaware;1976;03;418 000   ;262 596   ;62,8   ;242 340   ;58,0   ;20 256   ;7,7   
11;District of Columbia;1976;03;519 000   ;339 517   ;65,4   ;309 128   ;59,6   ;30 389   ;9,0   
12;Florida;1976;03;6 452 000   ;3 591 633   ;55,7   ;3 249 159   ;50,4   ;342 474   ;9,5   
13;Georgia;1976;03;3 534 000   ;2 249 490   ;63,7   ;2 061 445   ;58,3   ;188 045   ;8,4   
15;Hawaii;1976;03;586 000   ;409 265   ;69,8   ;367 467   ;62,7   ;41 798   ;10,2   
16;Idaho;1976;03;583 000   ;366 000   ;62,8   ;346 021   ;59,4   ;19 979   ;5,5   
17;Illinois;1976;03;8 146 000   ;5 131 818   ;63,0   ;4 789 790   ;58,8   ;342 028   ;6,7   
18;Indiana;1976;03;3 797 000   ;2 418 009   ;63,7   ;2 260 937   ;59,5   ;157 072   ;6,5   
19;Iowa;1976;03;2 072 000   ;1 324 428   ;63,9   ;1 268 901   ;61,2   ;55 527   ;4,2   
20;Kansas;1976;03;1 640 000   ;1 060 837   ;64,7   ;1 015 396   ;61,9   ;45 441   ;4,3   
21;Kentucky;1976;03;2 470 000   ;1 488 878   ;60,3   ;1 406 193   ;56,9   ;82 685   ;5,6   
22;Louisiana;1976;03;2 685 000   ;1 513 093   ;56,4   ;1 417 499   ;52,8   ;95 594   ;6,3   
23;Maine;1976;03;767 000   ;475 697   ;62,0   ;434 134   ;56,6   ;41 563   ;8,7   
24;Maryland;1976;03;2 962 000   ;1 904 177   ;64,3   ;1 781 135   ;60,1   ;123 042   ;6,5   
25;Massachusetts;1976;03;4 201 000   ;2 715 650   ;64,6   ;2 435 324   ;58,0   ;280 326   ;10,3   
26;Michigan;1976;03;6 430 000   ;3 959 594   ;61,6   ;3 567 979   ;55,5   ;391 615   ;9,9   
27;Minnesota;1976;03;2 797 000   ;1 831 869   ;65,5   ;1 722 985   ;61,6   ;108 884   ;5,9   
28;Mississippi;1976;03;1 647 000   ;960 931   ;58,3   ;897 614   ;54,5   ;63 317   ;6,6   
29;Missouri;1976;03;3 473 000   ;2 087 996   ;60,1   ;1 963 435   ;56,5   ;124 561   ;6,0   
30;Montana;1976;03;533 000   ;327 131   ;61,4   ;308 017   ;57,8   ;19 114   ;5,8   
31;Nebraska;1976;03;1 097 000   ;715 419   ;65,2   ;692 073   ;63,1   ;23 346   ;3,3   
32;Nevada;1976;03;456 000   ;322 327   ;70,7   ;293 456   ;64,4   ;28 871   ;9,0   
33;New Hampshire;1976;03;596 000   ;391 413   ;65,7   ;364 765   ;61,2   ;26 648   ;6,8   
34;New Jersey;1976;03;5 367 000   ;3 282 199   ;61,2   ;2 945 972   ;54,9   ;336 227   ;10,2   
35;New Mexico;1976;03;798 000   ;475 109   ;59,5   ;432 733   ;54,2   ;42 376   ;8,9   
36;New York;1976;03;13 207 000   ;7 684 481   ;58,2   ;6 897 998   ;52,2   ;786 483   ;10,2   
51000;New York city;1976;03;5 690 000   ;3 112 681   ;54,7   ;2 768 557   ;48,7   ;344 124   ;11,1   
37;North Carolina;1976;03;3 912 000   ;2 595 712   ;66,4   ;2 428 876   ;62,1   ;166 836   ;6,4   
38;North Dakota;1976;03;444 000   ;275 531   ;62,1   ;266 363   ;60,0   ;9 168   ;3,3   
39;Ohio;1976;03;7 711 000   ;4 757 822   ;61,7   ;4 372 663   ;56,7   ;385 159   ;8,1   
40;Oklahoma;1976;03;2 007 000   ;1 180 456   ;58,8   ;1 110 496   ;55,3   ;69 960   ;5,9   
41;Oregon;1976;03;1 724 000   ;1 072 689   ;62,2   ;969 546   ;56,2   ;103 143   ;9,6   
42;Pennsylvania;1976;03;8 786 000   ;5 106 719   ;58,1   ;4 691 831   ;53,4   ;414 888   ;8,1   
44;Rhode Island;1976;03;693 000   ;435 032   ;62,8   ;399 726   ;57,7   ;35 306   ;8,1   
45;South Carolina;1976;03;1 992 000   ;1 291 686   ;64,8   ;1 195 034   ;60,0   ;96 652   ;7,5   
46;South Dakota;1976;03;478 000   ;308 704   ;64,6   ;299 010   ;62,6   ;9 694   ;3,1   
47;Tennessee;1976;03;3 091 000   ;1 818 191   ;58,8   ;1 709 613   ;55,3   ;108 578   ;6,0   
48;Texas;1976;03;8 870 000   ;5 629 458   ;63,5   ;5 299 209   ;59,7   ;330 249   ;5,9   
49;Utah;1976;03;828 000   ;519 114   ;62,7   ;489 008   ;59,1   ;30 106   ;5,8   
50;Vermont;1976;03;341 000   ;213 610   ;62,6   ;194 978   ;57,2   ;18 632   ;8,7   
51;Virginia;1976;03;3 551 000   ;2 328 207   ;65,6   ;2 191 511   ;61,7   ;136 696   ;5,9   
53;Washington;1976;03;2 611 000   ;1 582 676   ;60,6   ;1 445 169   ;55,3   ;137 507   ;8,7   
54;West Virginia;1976;03;1 358 000   ;702 963   ;51,8   ;647 481   ;47,7   ;55 482   ;7,9   
55;Wisconsin;1976;03;3 252 000   ;2 124 610   ;65,3   ;2 002 973   ;61,6   ;121 637   ;5,7   
56;Wyoming;1976;03;272 000   ;175 782   ;64,6   ;168 487   ;61,9   ;7 295   ;4,2   
01;Alabama;1976;04;2 620 000   ;1 489 947   ;56,9   ;1 393 177   ;53,2   ;96 770   ;6,5   
02;Alaska;1976;04;237 000   ;160 192   ;67,6   ;148 970   ;62,9   ;11 222   ;7,0   
04;Arizona;1976;04;1 636 000   ;974 938   ;59,6   ;877 217   ;53,6   ;97 721   ;10,0   
05;Arkansas;1976;04;1 541 000   ;882 692   ;57,3   ;818 130   ;53,1   ;64 562   ;7,3   
06;California;1976;04;15 731 000   ;9 795 836   ;62,3   ;8 918 330   ;56,7   ;877 506   ;9,0   
037;Los Angeles County;1976;04;5 302 000   ;3 378 725   ;63,7   ;3 085 543   ;58,2   ;293 182   ;8,7   
08;Colorado;1976;04;1 846 000   ;1 231 011   ;66,7   ;1 164 119   ;63,1   ;66 892   ;5,4   
09;Connecticut;1976;04;2 255 000   ;1 446 187   ;64,1   ;1 306 078   ;57,9   ;140 109   ;9,7   
10;Delaware;1976;04;419 000   ;262 989   ;62,8   ;241 923   ;57,7   ;21 066   ;8,0   
11;District of Columbia;1976;04;518 000   ;338 609   ;65,4   ;308 673   ;59,6   ;29 936   ;8,8   
12;Florida;1976;04;6 468 000   ;3 594 014   ;55,6   ;3 258 015   ;50,4   ;335 999   ;9,3   
13;Georgia;1976;04;3 540 000   ;2 253 611   ;63,7   ;2 067 967   ;58,4   ;185 644   ;8,2   
15;Hawaii;1976;04;588 000   ;409 939   ;69,7   ;368 550   ;62,7   ;41 389   ;10,1   
16;Idaho;1976;04;585 000   ;367 439   ;62,8   ;347 164   ;59,3   ;20 275   ;5,5   
17;Illinois;1976;04;8 155 000   ;5 135 150   ;63,0   ;4 796 640   ;58,8   ;338 510   ;6,6   
18;Indiana;1976;04;3 801 000   ;2 421 035   ;63,7   ;2 269 249   ;59,7   ;151 786   ;6,3   
19;Iowa;1976;04;2 075 000   ;1 327 210   ;64,0   ;1 272 547   ;61,3   ;54 663   ;4,1   
20;Kansas;1976;04;1 642 000   ;1 063 168   ;64,7   ;1 017 765   ;62,0   ;45 403   ;4,3   
21;Kentucky;1976;04;2 475 000   ;1 489 497   ;60,2   ;1 407 354   ;56,9   ;82 143   ;5,5   
22;Louisiana;1976;04;2 692 000   ;1 516 323   ;56,3   ;1 418 904   ;52,7   ;97 419   ;6,4   
23;Maine;1976;04;769 000   ;476 036   ;61,9   ;434 823   ;56,5   ;41 213   ;8,7   
24;Maryland;1976;04;2 966 000   ;1 905 507   ;64,2   ;1 781 610   ;60,1   ;123 897   ;6,5   
25;Massachusetts;1976;04;4 204 000   ;2 717 527   ;64,6   ;2 441 683   ;58,1   ;275 844   ;10,2   
26;Michigan;1976;04;6 436 000   ;3 969 449   ;61,7   ;3 580 904   ;55,6   ;388 545   ;9,8   
27;Minnesota;1976;04;2 802 000   ;1 834 864   ;65,5   ;1 728 543   ;61,7   ;106 321   ;5,8   
28;Mississippi;1976;04;1 650 000   ;963 165   ;58,4   ;901 513   ;54,6   ;61 652   ;6,4   
29;Missouri;1976;04;3 477 000   ;2 095 946   ;60,3   ;1 970 155   ;56,7   ;125 791   ;6,0   
30;Montana;1976;04;534 000   ;327 166   ;61,3   ;308 014   ;57,7   ;19 152   ;5,9   
31;Nebraska;1976;04;1 098 000   ;715 705   ;65,2   ;692 831   ;63,1   ;22 874   ;3,2   
32;Nevada;1976;04;458 000   ;323 929   ;70,7   ;295 160   ;64,4   ;28 769   ;8,9   
33;New Hampshire;1976;04;598 000   ;392 657   ;65,7   ;366 173   ;61,2   ;26 484   ;6,7   
34;New Jersey;1976;04;5 372 000   ;3 290 889   ;61,3   ;2 952 460   ;55,0   ;338 429   ;10,3   
35;New Mexico;1976;04;801 000   ;476 571   ;59,5   ;433 984   ;54,2   ;42 587   ;8,9   
36;New York;1976;04;13 213 000   ;7 689 935   ;58,2   ;6 906 874   ;52,3   ;783 061   ;10,2   
51000;New York city;1976;04;5 689 000   ;3 112 243   ;54,7   ;2 768 172   ;48,7   ;344 071   ;11,1   
37;North Carolina;1976;04;3 919 000   ;2 599 283   ;66,3   ;2 436 634   ;62,2   ;162 649   ;6,3   
38;North Dakota;1976;04;444 000   ;276 266   ;62,2   ;266 864   ;60,1   ;9 402   ;3,4   
39;Ohio;1976;04;7 716 000   ;4 757 433   ;61,7   ;4 376 405   ;56,7   ;381 028   ;8,0   
40;Oklahoma;1976;04;2 011 000   ;1 181 507   ;58,8   ;1 112 144   ;55,3   ;69 363   ;5,9   
41;Oregon;1976;04;1 728 000   ;1 073 735   ;62,1   ;972 719   ;56,3   ;101 016   ;9,4   
42;Pennsylvania;1976;04;8 792 000   ;5 112 956   ;58,2   ;4 696 196   ;53,4   ;416 760   ;8,2   
44;Rhode Island;1976;04;693 000   ;435 469   ;62,8   ;400 273   ;57,8   ;35 196   ;8,1   
45;South Carolina;1976;04;1 996 000   ;1 291 005   ;64,7   ;1 196 768   ;60,0   ;94 237   ;7,3   
46;South Dakota;1976;04;479 000   ;308 718   ;64,5   ;299 231   ;62,5   ;9 487   ;3,1   
47;Tennessee;1976;04;3 097 000   ;1 825 620   ;58,9   ;1 718 077   ;55,5   ;107 543   ;5,9   
48;Texas;1976;04;8 896 000   ;5 653 373   ;63,5   ;5 321 425   ;59,8   ;331 948   ;5,9   
49;Utah;1976;04;830 000   ;520 609   ;62,7   ;490 860   ;59,1   ;29 749   ;5,7   
50;Vermont;1976;04;341 000   ;214 211   ;62,8   ;195 593   ;57,4   ;18 618   ;8,7   
51;Virginia;1976;04;3 559 000   ;2 330 919   ;65,5   ;2 195 231   ;61,7   ;135 688   ;5,8   
53;Washington;1976;04;2 617 000   ;1 586 708   ;60,6   ;1 448 989   ;55,4   ;137 719   ;8,7   
54;West Virginia;1976;04;1 360 000   ;702 202   ;51,6   ;646 833   ;47,6   ;55 369   ;7,9   
55;Wisconsin;1976;04;3 256 000   ;2 128 063   ;65,4   ;2 008 413   ;61,7   ;119 650   ;5,6   
56;Wyoming;1976;04;273 000   ;176 667   ;64,7   ;169 387   ;62,0   ;7 280   ;4,1   
01;Alabama;1976;05;2 626 000   ;1 490 609   ;56,8   ;1 394 591   ;53,1   ;96 018   ;6,4   
02;Alaska;1976;05;239 000   ;161 814   ;67,7   ;150 449   ;62,9   ;11 365   ;7,0   
04;Arizona;1976;05;1 642 000   ;979 281   ;59,6   ;883 408   ;53,8   ;95 873   ;9,8   
05;Arkansas;1976;05;1 542 000   ;884 656   ;57,4   ;821 026   ;53,2   ;63 630   ;7,2   
06;California;1976;05;15 768 000   ;9 828 900   ;62,3   ;8 953 226   ;56,8   ;875 674   ;8,9   
037;Los Angeles County;1976;05;5 311 000   ;3 385 461   ;63,7   ;3 093 326   ;58,2   ;292 135   ;8,6   
08;Colorado;1976;05;1 850 000   ;1 231 050   ;66,5   ;1 163 412   ;62,9   ;67 638   ;5,5   
09;Connecticut;1976;05;2 257 000   ;1 451 468   ;64,3   ;1 312 227   ;58,1   ;139 241   ;9,6   
10;Delaware;1976;05;420 000   ;263 585   ;62,8   ;241 399   ;57,5   ;22 186   ;8,4   
11;District of Columbia;1976;05;518 000   ;337 253   ;65,1   ;307 776   ;59,4   ;29 477   ;8,7   
12;Florida;1976;05;6 483 000   ;3 597 871   ;55,5   ;3 269 479   ;50,4   ;328 392   ;9,1   
13;Georgia;1976;05;3 547 000   ;2 259 949   ;63,7   ;2 077 016   ;58,6   ;182 933   ;8,1   
15;Hawaii;1976;05;590 000   ;410 495   ;69,6   ;369 908   ;62,7   ;40 587   ;9,9   
16;Idaho;1976;05;587 000   ;369 500   ;62,9   ;348 876   ;59,4   ;20 624   ;5,6   
17;Illinois;1976;05;8 164 000   ;5 141 327   ;63,0   ;4 804 591   ;58,9   ;336 736   ;6,5   
18;Indiana;1976;05;3 806 000   ;2 426 290   ;63,7   ;2 280 665   ;59,9   ;145 625   ;6,0   
19;Iowa;1976;05;2 078 000   ;1 331 126   ;64,1   ;1 277 629   ;61,5   ;53 497   ;4,0   
20;Kansas;1976;05;1 644 000   ;1 066 459   ;64,9   ;1 021 136   ;62,1   ;45 323   ;4,2   
21;Kentucky;1976;05;2 480 000   ;1 490 936   ;60,1   ;1 409 389   ;56,8   ;81 547   ;5,5   
22;Louisiana;1976;05;2 699 000   ;1 521 492   ;56,4   ;1 421 200   ;52,7   ;100 292   ;6,6   
23;Maine;1976;05;771 000   ;476 408   ;61,8   ;435 607   ;56,5   ;40 801   ;8,6   
24;Maryland;1976;05;2 971 000   ;1 908 475   ;64,2   ;1 783 003   ;60,0   ;125 472   ;6,6   
25;Massachusetts;1976;05;4 207 000   ;2 719 627   ;64,6   ;2 450 016   ;58,2   ;269 611   ;9,9   
26;Michigan;1976;05;6 442 000   ;3 982 406   ;61,8   ;3 599 367   ;55,9   ;383 039   ;9,6   
27;Minnesota;1976;05;2 806 000   ;1 839 691   ;65,6   ;1 735 701   ;61,9   ;103 990   ;5,7   
28;Mississippi;1976;05;1 653 000   ;966 295   ;58,5   ;905 971   ;54,8   ;60 324   ;6,2   
